Datetime,Tweet Id,Text,Username
2022-01-29 20:27:40+00:00,1487522856976191494,"WAZIRIN ADAMAWA 
is coming

@Galafi_Hamma @Rasheethe @abbalala3 

Wemove for Atiku abubakar. 

#Atikukawai https://t.co/qydNw2bpmF",AdamuAlhajiAda5
2022-01-29 20:23:57+00:00,1487521922187411456,"grow. Because of that banking consolidation, Nigerian banks don’t fail anymore the way they used to”. Atiku Abubakar @atiku
@aliyubinabbas1
@RaymondADokpesi
@AdamuAtikuA
#IAmWithAtiku",AbubakarYouths
2022-01-29 20:14:09+00:00,1487519453084471298,"I believe on Atiku abubakar 2023
Election

#Atikukawai https://t.co/fPhlQc8DRk",AdamuAlhajiAda5
2022-01-29 18:56:19+00:00,1487499867366821896,"Bayan ziyara ta’aziyya, Mai girma wazirin Adamawa Alhaji Atiku Abubakar ya dawo Abuja a yammacin yau Asabar. 

#Aso2AsoRock https://t.co/7ZyUPuXyjT",AON_2023
2022-01-29 18:07:36+00:00,1487487607596621838,"Just Now H E Alhaji Atiku Abubakar Depart From Yola To Abuja 

Allah Ya Kiyaye Daddy ✈️ https://t.co/QjIvW0Gf7W",IzalaAbubakar
2022-01-29 18:02:43+00:00,1487486378673938433,"Just Now

His Excellency Alhaji Atiku Abubakar Wazirin Adamawa Depart to Abuja after Attending the 3 Days prayers of late Hamman Kojoli in Yola

Safe Flight Daddy https://t.co/5OWQ58dkzX",IzalaAbubakar
2022-01-29 16:33:13+00:00,1487463853927673866,"@Nefertiiti @ogaten10 It's intentional. To create a division on the discussion on ground. Whichever way, present a CA, I will support an Atiku Abubakar with my full chest.

AA would kuku make a better president.",Elfab_Chigozie
2022-01-29 16:16:44+00:00,1487459709154213889,"graphologist have shown that General Buhari is wicked and that Goodluck Jonathan is, tricky and dubious while Atiku Abubakar handwriting shows that he has tenacity for looting @bbcworldservice",olorunnisolaalo
2022-01-29 15:55:20+00:00,1487454321683976192,"Buhari is from the North: Buba Galadima, Junaid Mohammed, Atiku Abubakar, Kwankwaso, Tambuwal, Makarfi, Dankwambo. 

Imagine if these were Igbos opposing the presidency of their kinsman: some people would have used it to wax an award-winning song. All comedians would have used",AfamDeluxo
2022-01-29 15:55:19+00:00,1487454317065998343,"primaries and went with him to campaign in the Southeast, raising Obasanjo's hand in different campaign grounds in the Southeast. 

In  2007, Muhammadu Buhari, Atiku Abubakar, and Umaru Musa Yar'Adua all contested the presidential election. None of these 3 Northerners stepped",AfamDeluxo
2022-01-29 15:51:16+00:00,1487453296428204032,"Also, love that Peter Obi is being put in front of the Presidential discussion and not as some sort of footnote for Atiku Abubakar. 

The best ones first. We must stop choosing between a ""two evils"".

 It's not a crime to have something good.",agayiba
2022-01-29 15:35:49+00:00,1487449409503875075,@vanguardngrnews Fmr senate president.Dr Bukola saraki is better than president Buhari 10times but Alh. Atiku Abubakar remain the best candidate for north part comes 2023 general election,OkeyMonday1
2022-01-29 15:14:56+00:00,1487444156406501380,"See the direction 2023 is going 

APC Presidential Aspirants so far
1 Tinubu
2 Rochas Okorocha
3 Yaya Bello
4 Orji Uzor Kalu
5 David Umahi
6 Ben Ayade 
7 Rotimi Ameachi? 

PDP Presidential Aspirants so far
1 Atiku Abubakar 
2 Bukola Saraki 
3 Pius Anyim

2023 will be interesting",MaziAlly
2022-01-29 14:13:01+00:00,1487428571496960001,"Come 2023, @atiku Abubakar Will Unify Nigeria, Provide Security, Revamp Our Ailing Economy, Restore Youth Confidence and Engagement, Create A Workable System For All Nigerians, Provide Jobs and #secureTheTribe CGPA #AtikuKawai #Atiku2023 

#RescueNigeria To Get It Working Again. https://t.co/s2k0tphQRh",AtikuMedia2023
2022-01-29 13:58:23+00:00,1487424890856693764,"@Ambrosia_Ijebu Of all the lots, a ticket that has Peter Obi either as President or VP is my choice. I will go for an Atiku Abubakar one term presidency and afterwards handover to Obi.",TopeAdeleye6
